R,G,B,X,Y,Z,WX,WY,WZ
767.7863249,2370.998087,1025.438296,40.72412197,53.70205517,23.47867699,,,
610.4975116,1514.343463,1150.90779,30.68141116,32.90227472,30.40119327,,,
3002.279514,7121.9025,5291.7328,153.899766,164.375026,141.889216,,,
3003.394628,7124.942899,5279.79615,151.6757616,161.9965326,139.6619254,,,
382.333953,958.5141787,732.5103971,21.53156457,23.06987312,21.56810725,,,
490.9892967,2773.580088,1311.837935,28.93866548,52.42430614,25.32665484,,,
534.2444646,2941.113957,1675.175375,31.82762886,54.4854843,35.75190228,,,
881.5955022,4002.322312,2029.269352,49.71181327,79.39386762,42.3945149,,,
970.0604732,3660.025009,2289.926267,55.60468633,76.16932906,56.09742287,,,
1398.637893,5064.365296,3219.15392,77.83806115,104.5757366,78.25533291,,,
1766.910096,4942.069265,2998.123608,90.25363468,109.3020052,72.24015758,,,
3070.685519,7316.277046,5474.709132,158.622385,169.2759473,148.4698191,,,
129.8187955,558.5923445,438.640415,9.190738945,12.69509321,12.60879916,,,
244.2421263,1062.40689,789.4653922,15.66344832,21.3917901,20.85646456,,,
309.2179994,1888.541968,1370.968559,22.06358401,35.61391355,34.56410165,,,
226.8540255,1414.173238,1294.915375,13.47963953,21.82094368,30.11962291,,,
252.6477496,1306.09837,1258.770898,15.86792795,21.84486652,32.25512547,,,
592.5263918,3160.83259,2985.7655,37.24941473,52.97369082,76.88082542,,,
661.5268044,2984.843472,2655.087435,40.40101336,53.7465596,69.52681935,,,
276.175689,692.1441727,535.0677745,14.33002106,15.30293125,14.62792461,,,
128.4858673,317.6036325,245.3971214,8.441946199,8.999004922,8.50110494,,,
134.5064707,330.2044355,254.0053357,7.673536534,8.152996396,7.705177201,,,
152.6761078,374.2031863,285.6272186,6.915329454,7.352527037,6.919006705,,,
1734.17636,4824.401041,3835.74542,94.04676053,105.3687753,105.4291288,,,
1793.611286,5072.705828,4414.016,93.61475549,103.4080252,118.70331,,,
950.359749,2466.822727,2074.188352,48.37084307,51.69378896,55.60465717,,,
575.5461282,1827.80115,1730.658271,31.81010093,35.42315036,47.42984306,,,
1363.749636,3466.032243,2232.15957,68.47716005,78.18341794,56.2524091,,,
1039.944786,2442.245015,1488.33567,50.65397258,56.26704228,36.67256918,,,
45.86135319,105.412929,73.31290284,2.008414337,2.139821843,1.81037038,,,
168.8279364,566.7919064,493.6023555,10.68307177,12.41752354,14.5495234,,,
149.6171155,578.5534453,640.5624863,10.84288102,12.20884476,20.00549714,,,
173.169179,680.2802216,879.9292842,11.66770035,12.26716396,26.1078131,,,
259.7879685,1480.936483,1635.347345,16.0859572,22.24325143,41.28932819,,,
263.8094987,1321.126756,1376.855984,16.9123549,21.76354648,36.80313618,,,
412.6775622,1955.83367,1869.115116,27.20225872,35.31839757,51.02734843,,,
354.6363836,2137.45868,2443.259054,25.84251622,34.176501,66.60458378,,,
751.5374454,2866.835508,2847.489978,44.71852238,53.03538393,78.70459359,,,
812.3651925,3123.490778,3407.640588,47.57547573,54.38035047,94.1227681,,,
628.6688304,3236.236512,3453.687529,39.92799646,52.11459976,91.9894339,,,
987.1573419,4268.363423,3974.766429,58.58745406,75.66723049,104.3378049,,,
951.1917798,4323.636889,3847.469649,56.74761101,76.65450383,99.29431125,,,
1642.116386,5356.852152,4462.154652,88.40218294,105.3928774,116.8169158,,,
1748.126452,5008.270782,3728.774447,92.03847675,106.662648,97.41275783,,,
1240.323393,3622.871154,2827.644112,67.33975936,77.29150176,75.9526058,,,
1469.381444,3051.887615,1449.162201,71.00861591,77.25784789,36.35587871,,,
1378.13528,3012.859915,1102.795545,68.87782032,78.4183539,26.66648896,,,
2656.461436,4206.460629,502.4176291,121.6434358,127.9344279,6.834243758,,,
132.4938372,397.4297466,436.6048942,8.222591877,8.585325821,13.66883487,,,
152.1235042,645.2259595,837.0122355,10.74451677,11.96202985,25.00791373,,,
168.077087,709.0596947,998.4047949,11.26818457,11.66550302,29.20853957,,,
271.9153998,1484.524666,2028.122486,18.88929622,21.72726028,56.69131635,,,
281.6556583,1336.384033,1891.375417,20.023279,20.950662,55.29522894,,,
291.7944994,1245.643071,1591.325612,19.84386304,21.37698394,46.4140216,,,
496.934532,2123.707046,2738.379221,32.58845222,34.98945233,79.12545125,,,
932.7895153,2762.050624,3078.953387,52.20758112,53.14108095,88.64188866,,,
1368.969512,3857.228017,4007.233654,74.65421755,77.19803585,114.0835534,,,
731.3101752,1894.284506,2454.993494,40.16392515,36.16108238,72.44715858,,,
303.4360498,553.3352858,699.2488949,15.44575163,12.52443372,21.54104403,,,
285.6624374,559.4670219,598.7570681,13.83428615,12.17155277,17.0884329,,,
694.1229937,1042.193538,1336.347705,31.80715366,23.91482225,40.14062862,,,
844.0855104,1528.591175,1571.54499,39.64787529,34.68180484,45.0886143,,,
785.8800745,1732.7815,1443.07964,37.61782689,37.56604913,38.50071113,,,
904.8354828,2615.847248,1879.663697,47.15508524,55.1620456,48.11309131,,,
461.4500984,905.6810854,500.599409,22.57735723,23.37295662,13.79861491,,,
790.1521842,207.6171304,187.1864843,28.52690995,13.6543438,6.067013595,,,
256.8887784,413.9572162,346.1502326,13.14989305,11.83800816,11.01866321,,,
351.4868894,453.6268604,418.4297038,16.53607484,13.15661593,12.99236299,,,
343.1223567,417.8464613,461.6539327,17.12667062,12.98589041,15.89619024,,,
733.511188,744.9103708,919.9349285,32.94111543,22.69469747,30.07890567,,,
881.3077057,527.0597477,557.1432667,35.66448965,21.53919893,18.42946108,,,
1310.690176,1093.351544,1202.259611,55.15033352,36.13059334,37.67215333,,,
1209.046904,1206.353322,1241.305195,50.58198278,35.63450697,36.89393203,,,
1752.403167,2018.68746,1926.044305,73.30640829,54.89764021,54.38221203,,,
2126.962208,2904.734272,2531.725837,92.61745982,75.90964696,70.36183841,,,
1300.505277,2311.018519,1890.793088,58.72061589,54.30405399,50.67571881,,,
2359.291349,4482.143035,3581.082949,110.4790564,105.8129005,96.24318859,,,
2740.772113,6078.498667,4769.09138,134.7760574,138.7604432,127.6797569,,,
1729.109473,2100.465765,2287.101132,72.84809529,53.81740914,65.29971399,,,
1210.278835,2626.707123,2570.686654,58.48971722,55.18500269,70.88144804,,,
1539.090288,3556.303724,3185.878943,76.92575417,77.25421202,87.44961016,,,
347.8413733,1095.41569,814.1640425,18.82206188,22.51158313,20.95989651,,,
568.4484608,1757.671276,1300.930487,31.50522001,37.32885481,34.4049065,,,
211.8360884,1588.324397,1862.590611,16.05362968,23.25371685,48.54307889,,,
